call_to_arrival,assign_to_arrival,demand_met
30.64420307069171,24.698051988199044,1.0
30.468156664010753,24.618318851082055,1.0
30.296126852152934,24.767258093446713,1.0
30.95915305543173,24.80262985102964,1.0
29.964199813361105,24.760650027590785,0.999
29.953215371193632,24.870533558134756,1.0
30.54623214672011,24.809441808119022,1.0
30.87398007182647,24.972171844864757,1.0
30.596943024565757,25.019150807160113,1.0
29.91821864519823,24.809207989948003,1.0
30.10397974089014,24.83641882689771,1.0
31.46089729108635,25.073746998142138,1.0
30.9204338241799,24.78650728033485,1.0
31.10741182677874,24.74248447020954,1.0
30.143801598614978,24.91679096103556,1.0
29.959706996584924,24.407385784905614,1.0
30.612325383493665,24.788767859590777,1.0
30.097386984788027,24.70134344879577,1.0
30.253204741179566,24.8788769539547,1.0
30.617807293446567,24.56985271392781,1.0
30.53831152215174,24.84005798461933,1.0
31.531643991228123,25.1419281770989,1.0
30.54251615608955,24.89863770703547,1.0
29.991649602650153,24.51814221778802,1.0
30.35406985609441,24.68774873954145,1.0
30.176767237059785,24.87054649371056,1.0
30.888650302197004,24.859410782897115,1.0
30.710178337457236,24.63316421651248,1.0
30.18197934537005,24.756639511705487,0.999
30.598889463051794,24.68431042803684,1.0
